Target,Prediction,Tissue,Genotype,Treatment
SRX2248447,22.630383,leaves,sid2-2,EV_04h
SRX2248304,21.328024,leaves,sid2-2,EV_06h
SRX2248323,16.935196,leaves,sid2-2,EV_09h
SRX2248349,15.4812155,leaves,sid2-2,EV_12h
SRX2248386,20.569012,leaves,sid2-2,EV_24h
SRX2248445,16.579187,leaves,sid2-2,Mock
SRX2248302,19.21036,leaves,sid2-2,Mock
SRX2248320,16.555481,leaves,sid2-2,Mock
SRX2248347,15.432916,leaves,sid2-2,Mock
SRX2248365,19.69475,leaves,sid2-2,Mock
SRX2248383,15.705129,leaves,sid2-2,Mock
SRX2327074,14.609366,seedlings,hda15 mutant,--
SRX2327075,20.662384,seedlings,wild type,--
SRX2310801,28.46103,root,--,Mg deHicient
SRX2310797,26.394417,root,--,Mock
GSM2367133,15.892125,seedlings,Wild Type,--
GSM2367135,36.993294,seedlings,atbmi1abc triple mutant,--
GSM2371471,15.782418,seedlings,sac3b-7 (SALK 111245),--
GSM2371469,17.6867,seedlings,wild type,--
SRX2325948,11.538846,seedlings,tga2/5/6,--
SRX2325943,11.014406,seedlings,wild type,Mock
SRX2325944,27.773783,seedlings,wild type,UV
GSM1930834,18.634935,siliques,wild type,--
GSM2388460,12.941886,seedlings,hda9-1,--
GSM2388463,12.620274,seedlings,pwr-2,--
GSM2388457,12.804238,seedlings,wild type,--
GSM2391505,17.96601,seedlings,T-DNA knockout mutant of nf-ycQ,--
GSM2391502,15.221285,seedlings,wild type,--
GSM2392677,7.3917875,leaf,--,Chlorella
GSM2392679,7.6414585,leaf,--,"Chlorella, DC3000"
GSM2392681,7.722856,leaf,--,Water
GSM2392683,9.244219,leaf,--,"Water, DC3000"
SRX2363381,15.877319,seedlings,--,--
SRX2363386,19.162058,seedlings,--,--
GSM2395426,21.415045,seed,ABI5-/-,--
GSM2395423,22.304081,seed,wild type,--
GSM2397343,12.31674,seedlings,35S::HopBB1-myc,--
GSM2397346,8.578228,seedlings,Wild type,--
GSM2397325,11.146238,seedlings,--,MeJA 1h
GSM2397305,17.92598,seedlings,Col-0,DC3000 cor-
GSM2397301,10.964074,seedlings,Col-0,MgCl2
GSM2397303,7.1397448,seedlings,UBQ10,MgCl2
GSM2397308,21.930021,seedlings,coi1-16,DC3000 cor-
GSM2397304,9.089205,seedlings,coi1-16,MgCl2
GSM2397302,9.680556,seedlings,tcp14-6,MgCl2
GSM2397038,17.604359,seedlings,Col-0,DC3000 (EV)
GSM2397037,7.5812125,seedlings,Col-0,Mock
GSM2397039,9.179631,seedlings,Col-0,Pto DC3000 cor- (EV)
GSM2397040,15.566378,seedlings,Col-0,Pto DC3000 cor- (HopBB1)
GSM2397041,11.744138,seedlings,Col-0,Pto DC3000 cor- (HopBB1G126D)
GSM2397400,4.3900156,seedlings,Wild type,--
GSM2397401,6.3033514,seedlings,tcp14-6,--
GSM2397402,5.3581696,seedlings,tcp14-7,--
SRX2367913,20.182915,root,cbl1 mutant,with 20 Î¼M AlCl3 Hor 24 h
SRX2367814,20.360628,root,cbl1 mutant,without 20 Î¼M AlCl3 Hor 24 h
SRX2367987,19.875479,root,wild type,AlCl3
SRX2367981,23.65471,root,wild type,Mock
SRX2367916,20.029629,shoot,cbl1 mutant,with 20 Î¼M AlCl3 Hor 24 h
SRX2367910,16.8431,shoot,cbl1 mutant,without 20 Î¼M AlCl3 Hor 24 h
SRX2367991,19.980959,shoot,wild type,AlCl3
SRX2367984,17.581463,shoot,wild type,Mock
SRX2369540,21.708582,leaves,OE,--
SRX2369539,13.045152,leaves,wild type,--
SRX2413427,14.256926,stem,--,--
SRX2413430,25.807762,stem,--,--
GSM2429865,18.331345,leaves,K36M,--
GSM2433475,15.39736,leaves,--,2h induced
GSM2433481,16.396755,leaves,--,4h induced
GSM2433478,12.245646,leaves,--,Mock
SRX2438615,16.072018,leaves,Col-0,Mock
SRX2438623,20.89708,leaves,camta3-D (sr1-4d),100 nM oH Hlg22
GSM2435563,15.577864,leaves,camta3-D (sr1-4d),AvrRps4
GSM2981933,20.943594,leaves,ibm1,--
SRX2499466,12.515347,seedlings,phyA mutant,--
SRX2499459,12.746851,seedlings,phyA mutant,--
SRX2499461,12.078331,seedlings,wild type,low R/HR (0.2)
SRX2499457,13.469981,seedlings,wild type,low R/HR (0.8)
GSM2453041,32.648544,leaves,wild type,Hixed carbon starvation 5 day
GSM2453035,20.036499,leaves,wild type,Mock
GSM2453038,21.373672,leaves,wild type,dehydration 4h
GSM2454706,18.478703,seedlings,ELENA1 over-expressing plants,Without elH18 treatment
GSM2454715,21.003038,seedlings,ELENA1 over-expressing plants,elH18-treated 12h
GSM2454709,26.004456,seedlings,ELENA1 over-expressing plants,elH18-treated 1h
GSM2454712,17.466362,seedlings,ELENA1 over-expressing plants,elH18-treated 6h
GSM2454694,17.521,seedlings,Wild type,Mock
GSM2454703,21.389969,seedlings,Wild type,elH18-treated 12h
GSM2454697,21.370018,seedlings,Wild type,elH18-treated 1h
GSM2454700,19.346365,seedlings,Wild type,elH18-treated 6h
GSM2455322,18.885422,inflorescence,wild type,--
GSM2466000,13.348758,leaves,ZAT18 overexpression lines,Mock
GSM2466004,18.609476,leaves,ZAT18 overexpression lines,drought
GSM2465998,9.595954,leaves,wild type,Mock
GSM2466002,13.563495,leaves,wild type,drought
GSM2467134,11.678555,flower bud,bzip28 bzip60,control
GSM2467140,14.884153,flower bud,bzip28 bzip60,control
GSM2467143,21.199257,flower bud,bzip28 bzip60,treated at 37C Hor 3h
GSM2467116,12.9900875,flower bud,wild type,Mock
GSM2467122,14.339842,flower bud,wild type,Mock
GSM2467125,22.175512,flower bud,wild type,heat 3h
GSM2467110,15.447266,rosette leaf,wild type,Mock
GSM2467113,15.343786,rosette leaf,wild type,heat 3h
SRX2513462,19.22792,whole plant,tm4b-4,--
SRX2513460,15.178853,whole plant,wild type,--
SRX2520759,19.606428,root,py mutant,30 nM thiamin
SRX2520761,18.657734,root,tz mutant,30 nM thiamin
SRX2520763,18.114014,root,wild type,30 nM thiamin
SRX2520765,21.054888,root,wild type,Mock
SRX2520745,9.412878,rosette leaf,py mutant,10 microM thiamin
SRX2520751,8.603956,rosette leaf,py mutant,30 nM thiamin
SRX2520747,14.352681,rosette leaf,tz mutant,10 microM thiamin
SRX2520753,10.599282,rosette leaf,tz mutant,30 nM thiamin
SRX2520749,9.846987,rosette leaf,wild type,10 microM thiamin
SRX2520755,10.455299,rosette leaf,wild type,30 nM thiamin
SRX2520757,9.135014,rosette leaf,wild type,Mock
SRX2529390,11.305191,inflorescence,--,Mock
GSM2472796,13.403667,inflorescence,dex,dex
SRX2529374,13.2373085,inflorescence,--,Mock
SRX2529377,11.412724,inflorescence,--,dex
SRX2529380,14.170623,inflorescence,--,Mock
SRX2529383,11.297768,inflorescence,--,dex
SRX2530449,14.037466,cultured  cell,--,Dark
SRX2530453,19.549208,cultured  cell,--,Mock
SRX2542551,19.65084,anther,wild type,--
SRX2549220,23.004086,seedlings,ABA,ABA 48h
SRX2549226,27.324377,seedlings,ABA,ABA 6h
SRX2549223,14.138246,seedlings,Con,Mock
SRX2549229,18.201038,seedlings,Con,Mock
SRX2578618,14.256805,seedlings,--,--
SRX2578615,18.146334,seedlings,mac3,--
SRX2578612,18.680637,seedlings,skip-1,--
SRX2598378,16.504555,seedlings,wild type,--
SRX2598381,16.005749,seedlings,xrn3-8,--
GSM2516601,9.422329,rosette leaf,med16-2/med16-3 ref4-3/ref4-3,--
GSM2516593,9.378268,rosette leaf,med2-1/med2-3 ref4-3/ref4-3,--
GSM2516605,9.649971,rosette leaf,med23-1/med23-2 ref4-3/ref4-3,--
GSM2516589,10.107613,rosette leaf,med23-4,--
GSM2516581,10.23884,rosette leaf,med5a-1 med5b-1,--
GSM2516597,10.913371,rosette leaf,med5b-3 ref4-3,--
GSM2516573,13.646376,rosette leaf,ref4-3,--
GSM2516585,8.987217,rosette leaf,sfr6-2,--
GSM2516569,8.762423,rosette leaf,wild type,--
GSM2520860,9.129214,inflorescence,wild type,Mock
GSM2520864,10.932743,inflorescence,wild type,switch18to28 12h
GSM2520862,8.520803,inflorescence,wild type,switch18to28 3h
GSM2520866,9.60774,inflorescence,wild type,switch18to28 48h
GSM2520868,10.841415,inflorescence,zed1-D,switch18to28 0h
GSM2520872,14.453587,inflorescence,zed1-D,switch18to28 12h
GSM2520870,11.131765,inflorescence,zed1-D,switch18to28 3h
GSM2537712,12.667855,rosette leaf,ceh1,--
GSM2537718,13.71099,rosette leaf,ceh1/eds16,--
GSM2537715,9.332994,rosette leaf,eds16,--
GSM2537709,6.5012183,rosette leaf,wild type,--
GSM2544986,22.667145,seed,hda15-1,HR(Dark) conditions
GSM2544983,19.77865,seed,wild type,HR(Dark) conditions
GSM2546368,19.189299,root tip,SCL28-OX #10,--
GSM2546366,23.075415,root tip,Wild type,--
GSM2553046,10.474557,root tip,wild type,--
GSM2564769,21.097921,internode,35S::Myc-GR-bdl,DEX
GSM2564766,20.364841,internode,35S::Myc-GR-bdl,Mock
GSM2564789,19.568676,internode,PXY:GR-MPÎIII/IV,DEX
GSM2564786,22.663296,internode,PXY:GR-MPÎIII/IV,Mock
GSM2574869,10.652701,leaves,Col-0,--
GSM2574872,7.559986,leaves,Col-0,--
GSM2585963,10.6551,seedlings,CPL4 knockdown,--
GSM2585960,8.360903,seedlings,wild type,--
GSM2588917,6.1276503,mesophyll,wild type,--
SRX2771267,12.55288,leaves,Wild type,--
SRX2771264,18.693855,leaves,smc4,--
SRX2771284,12.469079,cauline leaf,Wild type,Husarium 3dpi
SRX2771296,26.878029,pistils,Wild type,Mock
SRX2771290,23.549206,pistils,Wild type,pollinated with A. halleri pollen
SRX2771292,22.640858,pistils,Wild type,pollinated with A. lyrata pollen
SRX2771294,23.37271,pistils,Wild type,selH pollinated
GSM2593279,18.676434,whole plant,jazQ,--
GSM2593285,17.096643,whole plant,jazQ mycT,--
GSM2593282,14.719581,whole plant,mycT,--
GSM2593276,18.179787,whole plant,wild type,--
GSM2607987,15.994164,seedlings,aip1-2,--
GSM2607985,14.771992,seedlings,aipp1-1,--
GSM2607991,19.903767,seedlings,edm2-4,--
GSM2607989,14.457117,seedlings,wild type,--
GSM2611735,16.916464,seedlings,"triple mutant (luc7 a-2, b-1, rl-1)",--
GSM2611732,13.248372,seedlings,wild type,--
SRX2804489,15.201553,flower bud,morc6-3,--
SRX2804486,17.168118,flower bud,wild type,--
GSM2636296,17.433643,leaves,--,--
GSM2640548,26.375227,seedlings,lux -/-,--
SRX2863363,15.908158,seedlings,cbp20 (CAP-BINDING PROTEIN 20) mutant,--
SRX2863366,14.398291,seedlings,cbp80 (CAP-BINDING PROTEIN 80) mutant,--
SRX2863360,16.606234,seedlings,se-1 (SERRATE) mutant,--
SRX2863357,15.725517,seedlings,wild type,--
GSM2643669,17.998676,seed,athb15,--
GSM2643671,20.751648,seed,athb25,--
GSM2643673,19.013494,seed,hat2,--
GSM2643675,21.118742,seed,lmi1,--
GSM2643677,21.157288,seed,obp1,--
GSM2643679,17.960796,seed,smb,--
GSM2643681,25.02233,seed,vnd2,--
GSM2643667,19.833717,seed,wild type,--
GSM2643683,21.338402,seed,wrky14,--
GSM2648035,8.573632,whole rosette,med5a-1 med5b-1,--
GSM2648032,12.142998,whole rosette,ref2-1,--
GSM2648041,10.174947,whole rosette,ref2-1 med5a-1 med5b-1,--
GSM2648029,14.825129,whole rosette,ref5-1,--
GSM2648038,11.360874,whole rosette,ref5-1 med5a-1 med5b-1,--
GSM2648026,12.107492,whole rosette,wild type,--
SRX2899192,6.970897,leaves,Col-0,--
SRX2899191,6.74333,leaves,Col-0,--
SRX2899204,8.225043,leaves,tcp2-tcp3-tcp4-tcp10 mutant,--
SRX2899203,7.154095,leaves,tcp2-tcp3-tcp4-tcp10 mutant,--
SRX2899198,6.4444065,leaves,tcp2-tcp4 mutant,--
SRX2899197,8.003329,leaves,tcp2-tcp4 mutant,--
GSM2683258,15.378984,embryo,se-1; serrate-1,--
GSM2683260,11.350284,embryo,wild type,--
SRX2983276,26.5807,root,--,VOC
SRX2983288,10.159504,shoot,--,Mock
SRX2983280,10.526821,shoot,--,VOC
SRX2982243,15.804207,seedlings,--,Mock
SRX2982239,16.671856,seedlings,cerk1-2 mutant,--
SRX2982240,16.865383,seedlings,wild type,"1,3-b-glucan hexasaccharide"
GSM2700473,17.419914,seedlings,h3.1kd-1,--
GSM2700475,18.288046,seedlings,h3.1kd-2,--
GSM2700471,16.767817,seedlings,wild type,--
SRX3004692,19.945179,hypocotyl,--,--
SRX3004704,31.266455,hypocotyl,--,--
SRX3004695,51.21837,hypocotyl,--,--
SRX3004707,25.097422,hypocotyl,--,--
SRX3004698,44.495987,hypocotyl,--,--
SRX3004701,44.763695,hypocotyl,--,--
GSM2704840,12.210724,leaves,--,ABA
GSM2704828,16.02173,leaves,--,ABA
GSM2704831,16.616219,leaves,--,AMH1
GSM2704852,11.9023905,leaves,--,AMH4
GSM2704837,16.361526,leaves,--,DMSO
GSM2704825,11.46464,leaves,--,DMSO
GSM2717014,9.6981125,leaves,--,Mock
GSM2717004,7.59778,leaves,--,Mock
GSM2717010,7.8141885,leaves,--,Mock
GSM2716999,7.061532,leaves,--,Rpm1
GSM2717001,8.506135,leaves,--,Rpm1
GSM2717007,8.321445,leaves,--,Rpm1
SRX3041204,42.197704,seedlings,--,--
SRX3041159,47.14252,seedlings,--,--
SRX3041205,37.86407,seedlings,--,--
SRX3042689,11.272543,Leaf,METo1+,--
SRX3042692,14.048498,Leaf,wild type,--
GSM2735475,9.178391,rosette leaf,Col-0,Mock
GSM2735478,16.1928,rosette leaf,Col-0,ozone 2h
GSM2751087,21.398933,seedlings,wild type,Mock
GSM2751090,14.440119,seedlings,wild type,containing bacterial strain SA187
GSM2751089,17.956245,seedlings,wild type,containing bacterial strain SA187ï¼without100 mM NaCl and cultivated Hor additional 14 days
GSM2751088,19.628975,seedlings,wild type,without100 mM NaCl and cultivated Hor additional 12 days.
GSM2752187,36.92785,whole seedling,ENAP1ox/ein3eil1 in COL background,air
GSM2752183,32.766037,whole seedling,ein3eil1 in COL background,air
GSM2781396,14.912537,inflorescence,35S,--
GSM2781399,18.894646,inflorescence,35S,--
GSM2781402,23.136244,inflorescence,35S,--
GSM2781387,13.336929,inflorescence,control for induction,--
GSM2781390,22.332167,inflorescence,control for induction,--
GSM2781393,21.0159,inflorescence,control for induction,--
GSM2781379,23.36224,petal,Tcp5Tcp13Tcp17 KO,--
GSM2781373,18.056871,petal,control for KO,--
GSM2781381,20.800611,petal,control for overexpression,--
GSM2781384,18.080744,petal,pATML1,--
SRX3182102,17.331076,seedlings,agb1-2 mutant,--
SRX3182106,21.563583,seedlings,cry1 cry2 double mutant,--
SRX3182108,25.383188,seedlings,hy5 mutant,--
SRX3182104,22.687975,seedlings,wild type,--
GSM2786261,9.569353,aerial seedling,Wild type,--
GSM2786264,13.617682,aerial seedling,caa39 mutant,--
SRX3217057,17.092113,cultured  cell,--,Mock
SRX3217204,14.99421,cultured  cell,--,dark Hor 2 weeks*
GSM2796127,19.019197,seedlings,ebs shl,--
GSM2796130,13.134785,seedlings,ebs shl lhp1,--
GSM2796133,10.122824,seedlings,emf1,--
GSM2796124,14.906278,seedlings,lhp1,--
GSM2796121,15.170462,seedlings,wild type,--
GSM2796797,25.244684,Whole seedlings,UBQ10:YFP-ARF19,IAA 2h
GSM2796805,25.30775,Whole seedlings,UBQ10:YFP-ARF19k,IAA 2h
GSM2796801,18.452158,Whole seedlings,UBQ10:YFP-ARF19k,mock
GSM2796789,28.838554,Whole seedlings,wild type,IAA 2h
GSM2796786,16.92697,Whole seedlings,wild type,mock
GSM2801321,9.982456,"leaf, stem, root",wild type,--
GSM2802772,14.12087,seedlings,sigma factor 2-2 mutant,--
GSM2802778,13.502035,seedlings,sigma factor 2-2 mutant,--
GSM2802769,14.8135605,seedlings,wild type,--
GSM2802775,8.734484,seedlings,wild type,--
GSM2803874,21.424929,root,--,Mock
GSM2809115,15.51815,whole seedling,gun1-1,5Î¼M Norflurazon
GSM2809118,14.551574,whole seedling,gun4-1,5Î¼M Norflurazon
GSM2809121,14.113932,whole seedling,gun5-1,5Î¼M Norflurazon
GSM2809112,19.51801,whole seedling,wild type,5Î¼M Norflurazon
GSM2809930,16.785124,root,wild type,"+He, +Cu"
GSM2809939,21.091816,root,wild type,"+He, -Cu"
GSM2809945,20.910511,root,wild type,"-He, +Cu"
GSM2809951,17.414263,root,wild type,"-He, -Cu"
GSM2809957,13.796823,rosette leaf,wild type,"+He, +Cu"
GSM2809966,10.808346,rosette leaf,wild type,"+He, -Cu"
GSM2809972,11.734564,rosette leaf,wild type,"-He, +Cu"
GSM2809978,11.152237,rosette leaf,wild type,"-He, -Cu"
SRX3300485,35.874344,root,wild type,BA
SRX3300484,45.494045,root,wild type,Mock
SRX3300500,26.190279,shoot,wild type,BA
SRX3300501,27.741688,shoot,wild type,Mock
SRX3323679,28.42588,leaves,--,high light oH 50000 lux Hor 48h
SRX3389702,9.459975,leaves,--,SA
SRX3389709,9.237167,leaves,--,SA
GSM2840118,8.530201,whole plant,msh1?memory,--
GSM2840115,11.860355,whole plant,wild type,--
GSM2842857,22.196114,seedlings,agb1-2 mutant,--
GSM2842861,20.94173,seedlings,cry1 cry2 double mutant,--
GSM2842859,20.7872,seedlings,hy5 mutant,--
GSM2842855,18.842466,seedlings,wild type,--
GSM2857924,13.121294,flower,elf6-3ref6C,--
GSM2857921,17.40691,flower,elf6-3ref6Cjmj13G,--
GSM2857927,15.837253,flower,ref6-3,--
GSM2857930,13.638776,flower,ref6C,--
GSM2857918,15.826345,flower,wild type,--
GSM2858388,11.42127,whole plant,wild type,--
GSM2859813,15.592102,seedling,MUTE cDNA in pER8 / Col-0,DMSO 8hrs(Mock)
GSM2859816,18.148876,seedling,MUTE cDNA in pER8 / Col-0,estradiol 10 uM 8hrs
GSM2862616,20.95998,hypocotyl,--,--
GSM2862656,26.27007,hypocotyl,--,--
GSM2862666,25.18394,hypocotyl,--,--
GSM2862626,24.956493,hypocotyl,--,--
GSM2862676,22.749994,hypocotyl,--,--
GSM2862636,22.947357,hypocotyl,--,--
GSM2862606,23.302122,hypocotyl,--,--
GSM2862646,28.372602,hypocotyl,--,--
GSM2862618,19.406616,hypocotyl,--,--
GSM2862658,27.84922,hypocotyl,--,--
GSM2862668,21.742119,hypocotyl,--,--
GSM2862628,25.41964,hypocotyl,--,--
GSM2862678,25.505388,hypocotyl,--,--
GSM2862638,25.058308,hypocotyl,--,--
GSM2862608,26.40413,hypocotyl,--,--
GSM2862648,35.22412,hypocotyl,--,--
GSM2862620,11.242352,hypocotyl,--,--
GSM2862660,15.534408,hypocotyl,--,--
GSM2862670,13.970222,hypocotyl,--,--
GSM2862630,14.066251,hypocotyl,--,--
GSM2862680,13.613358,hypocotyl,--,--
GSM2862640,12.683043,hypocotyl,--,--
GSM2862610,15.456247,hypocotyl,--,--
GSM2862650,13.127191,hypocotyl,--,--
GSM2862604,11.108682,hypocotyl,--,--
GSM2862622,16.987001,hypocotyl,--,--
GSM2862662,10.349819,hypocotyl,--,--
GSM2862672,14.437082,hypocotyl,--,--
GSM2862632,16.44909,hypocotyl,--,--
GSM2862682,11.874576,hypocotyl,--,--
GSM2862642,12.989404,hypocotyl,--,--
GSM2862612,19.368507,hypocotyl,--,--
GSM2862652,12.094717,hypocotyl,--,--
GSM2862624,20.362309,hypocotyl,--,--
GSM2862664,30.459047,hypocotyl,--,--
GSM2862674,31.87112,hypocotyl,--,--
GSM2862634,28.157888,hypocotyl,--,--
GSM2862684,22.696205,hypocotyl,--,--
GSM2862644,29.32584,hypocotyl,--,--
GSM2862614,30.257305,hypocotyl,--,--
GSM2862654,27.038086,hypocotyl,--,--
SRX3445260,29.444387,root,Col-0,ET at 10 ppm Hor 4 h
SRX3445268,20.74512,root,Col-0,none
SRX3445262,16.237314,root,ein3eil1,ET at 10 ppm Hor 4 h
SRX3445270,18.73595,root,ein3eil1,none
SRX3445272,15.938439,root,ein3eil1rhd6rsl1,ET at 10 ppm Hor 4 h
SRX3445264,17.956783,root,ein3eil1rhd6rsl1,none
SRX3445266,19.314388,root,rhd6rsl1,ET at 10 ppm Hor 4 h
SRX3445258,19.483149,root,rhd6rsl1,none
SRX3452641,11.502194,cotyledon,--,--
SRX3452638,11.305328,cotyledon,--,--
SRX3452644,9.297991,leaves,--,--
SRX3452647,13.110373,leaves,--,--
SRX3452650,9.593273,leaves,--,--
SRX3452653,9.006123,leaves,--,--
GSM2882808,18.036219,seedlings,wild type,--
SRX3460580,13.619951,seedlings,--,--
SRX3460581,16.824934,seedlings,--,--
SRX3466467,12.891761,embryo,--,--
SRX3466469,17.832972,plant callus,--,--
GSM2890275,19.629305,seedlings,ECT2 T-DNA insertion mutant,--
GSM2891443,13.922731,seedlings,BBX18-/-BBX23-/-,--
GSM2891446,14.927589,seedlings,BBX18-/-BBX23-/-,--
GSM2891449,14.936239,seedlings,PIF4-/-,--
GSM2891452,18.73622,seedlings,PIF4-/-,--
GSM2891437,13.373898,seedlings,wild type,Mock
GSM2891440,13.74639,seedlings,wild type,heat 29
GSM2897859,19.002638,flower bud,dnaj1,--
GSM2897856,16.557968,flower bud,"dnaj1, dnaj2",--
GSM2897862,21.042881,flower bud,dnaj2,--
GSM2897868,18.616875,flower bud,suvh1,--
GSM2897865,19.17811,flower bud,"suvh1, suvh3",--
GSM2897871,22.570385,flower bud,suvh3,--
GSM2897874,21.606932,flower bud,wild type,--
GSM2897877,18.598442,leaves,wild type,--
GSM2904733,21.353666,seed,wild type,--
GSM2904739,21.430393,seed,wild type,--
GSM2906496,11.933963,whole plant,VaWRKY14-overexpressing,--
GSM2906492,15.183475,whole plant,Wild type,Mock
GSM2906494,22.369759,whole plant,Wild type,drought
GSM2913051,23.596027,leaves,ABI3,--
GSM2913047,21.857285,leaves,Wild type,--
GSM2913063,44.15904,leaves,ABI3,--
GSM2915671,15.647862,seedlings,cml39 -/-,--
GSM2915669,13.000962,seedlings,wild type,--
GSM2915886,18.812828,seedlings,--,BA
GSM2915883,25.82294,seedlings,--,Mock
GSM3154469,22.208092,seedlings,clf-29 swn-4,--
GSM2916556,22.975483,seedlings,swn-4 -/-,--
GSM2916550,15.440624,seedlings,wild type,--
GSM2932248,9.945127,leaves,Col-0,--
GSM2933113,15.4323635,seedlings,Col-0 wrky18 wrky40 wrky33 triple mutant,Hlg22-treated
GSM2933110,18.104383,seedlings,Col-0 wrky18 wrky40 wrky33 triple mutant,untreated
GSM2933107,16.680567,seedlings,wild type,Hlg22 2h
GSM2933104,16.976627,seedlings,wild type,Mock
GSM2934452,16.305971,whole plant,msh1 memory line,--
GSM2934437,13.314742,whole plant,wild type,5-azacytidine
GSM2934431,17.738405,whole plant,wild type,Mock
SRX3563387,19.490725,flower receptacles,mutant,--
SRX3563374,26.18435,flower receptacles,mutant,--
SRX3563384,19.559101,flower receptacles,mutant,--
SRX3563376,24.575329,flower receptacles,mutant,--
SRX4727335,21.817858,flower receptacles,serk1-1,--
SRX4727338,25.774363,flower receptacles,serk1-1,--
SRX3563394,25.84479,flower receptacles,suppressor,--
SRX3563378,17.749823,flower receptacles,suppressor,--
SRX3563386,22.230518,flower receptacles,wild type,--
SRX3563381,19.768082,flower receptacles,wild type,--
SRX4727332,24.454535,flower receptacles,wild type,--
GSM2941988,8.272207,seedlings,bZIP1/bZIP53 ko + inducible group bZIP2/-11/-44 knockdown,--
GSM2941982,18.223942,seedlings,snrk1-alpha-1 ko + inducible snrk1-alpha-2 knockdown,--
GSM2947242,18.643791,seedlings,nia1/2,DMSO
GSM2947244,19.59959,seedlings,nia1/2,isoxaben
GSM2947236,20.641672,seedlings,wild type,Mock
GSM2947239,20.795258,seedlings,wild type,isoxaben
GSM2948188,14.78053,seedlings,--,--
SRX3627486,27.11951,seed,spy-3,2 umol ABA
SRX3627483,29.91517,seed,wild type,2 umol ABA
SRX3646508,12.389707,leaves,--,--
SRX3646510,11.170466,leaves,wild type,--
GSM2974957,10.873086,seedlings,--,--
GSM2987689,23.217583,2-week seedlings,atpabs mutant,--
GSM2987687,26.357187,2-week seedlings,wild type,--
GSM2992341,25.367361,hypocotyl,bzr1-1D,Mock
GSM2992339,27.09114,hypocotyl,bzr1-1D,PPZ plus DPI and H2O2 condition
GSM2992336,20.95182,hypocotyl,bzr1-1D,PPZ plus DPI condition
GSM2992347,16.097008,hypocotyl,wild type,Mock
GSM2992344,17.561476,hypocotyl,wild type,PPZ plus DPI VS PPZ
SRX5137609,39.717896,seedlings,--,ABA 6h
SRX5137605,16.19053,seedlings,--,Mock
SRX5137608,17.50636,seedlings,--,Mock
GSM3014777,13.702452,seedlings,npr1-1,Mock
GSM3014775,16.810976,seedlings,npr1-1,SA treated
GSM3014785,13.263532,seedlings,npr1-1_npr4-4D,Mock
GSM3014783,15.791756,seedlings,npr1-1_npr4-4D,SA treated
GSM3014781,17.550035,seedlings,npr4-4D,Mock
GSM3014779,19.812008,seedlings,npr4-4D,SA treated
GSM3014773,15.329465,seedlings,wild type,Mock
GSM3014771,16.421988,seedlings,wild type,SA
SRX4045486,11.314665,aerial part,--,--
GSM3021215,12.134139,7 days old whole seedling,wild type,"Growth light (60 Î¼mol.m-2.s-1, 22 oC)"
GSM3021219,12.880941,7 days old whole seedling,wild type,"Growth light (60 Î¼mol.m-2.s-1, 22 oC)"
GSM3021221,15.186473,7 days old whole seedling,wild type,"Growth light (60 Î¼mol.m-2.s-1, 22 oC)"
GSM3021223,14.501836,7 days old whole seedling,wild type,"Growth light (60 Î¼mol.m-2.s-1, 22 oC)"
GSM3021217,13.4941225,7 days old whole seedling,wild type,"Growth light (60 Î¼mol.m-2.s-1, 22 oC)"
GSM3021225,13.244341,7 days old whole seedling,wild type,"Growth light (60 Î¼mol.m-2.s-1, 22 oC)"
GSM3021227,20.71415,7 days old whole seedling,wild type,"High light (1200 Î¼mol.m-2.s-1, leaf temperature: 22 oC)"
GSM3021231,19.40571,7 days old whole seedling,wild type,"High light (1200 Î¼mol.m-2.s-1, leaf temperature: 22 oC)"
GSM3021233,27.931532,7 days old whole seedling,wild type,"High light (1200 Î¼mol.m-2.s-1, leaf temperature: 22 oC)"
GSM3021235,28.244663,7 days old whole seedling,wild type,"High light (1200 Î¼mol.m-2.s-1, leaf temperature: 22 oC)"
GSM3021229,25.220467,7 days old whole seedling,wild type,"High light (1200 Î¼mol.m-2.s-1, leaf temperature: 22 oC)"
GSM3021237,20.781649,7 days old whole seedling,wild type,"High light (1200 Î¼mol.m-2.s-1, leaf temperature: 22 oC)"
GSM3021239,14.011757,7 days old whole seedling,wild type,"High light (1200 Î¼mol.m-2.s-1, leaf temperature: 22 oC) treatment, followed by recovery in Growth light (60 Î¼mol.m-2.s-1, 22 oC)"
SRX3744331,14.189569,flower,--,--
SRX3744339,9.450872,leaves,--,--
SRX3744333,10.748528,leaves,--,--
GSM3026967,15.646645,seedlings,cpr1 aba1,--
GSM3026973,19.508139,seedlings,pTPR1-TPR1-HA,--
GSM3026964,16.730593,seedlings,wild type,--
GSM3026970,15.452395,seedlings,wild type,--
GSM3027906,11.626959,rosette leaf,cdk8-1,--
GSM3027912,16.147097,rosette leaf,ref4-1,--
GSM3027903,14.934943,rosette leaf,ref4-3,--
GSM3027909,14.427994,rosette leaf,ref4-3 cdk8-1,--
GSM3027900,14.084829,rosette leaf,wild type,--
GSM3035092,13.9735565,seedlings,--,--
SRX3778406,19.035093,seedlings,siz1-2,Mock
SRX3778408,27.954926,seedlings,siz1-2,heat
SRX3778407,13.25194,seedlings,wild type,Mock
SRX3778409,30.372103,seedlings,wild type,heat
GSM3037960,22.672916,apical hook,wild type,--
