Target,Prediction,Factor,Factor_type_specific,Tissue,Mutant_specific,Age,Temperature
SRP045296/SRX1412150,0.029176664,AT2G28810,Transcription factor,Leaf,,,
SRP045296/SRX1412151,0.2712792,AT2G28810,Transcription factor,Leaf,,,
SRP045296/SRX1412152,0.1854066,AT3G52440,Transcription factor,Leaf,,,
SRP045296/SRX1412153,0.77256846,AT3G52440,Transcription factor,Leaf,,,
SRP045296/SRX1412154,0.06806305,AT5G02460,Transcription factor,Leaf,,,
SRP045296/SRX1412155,0.052679628,AT5G02460,Transcription factor,Leaf,,,
SRP045296/SRX1412156,0.37849253,AT5G66940,Transcription factor,Leaf,,,
SRP045296/SRX1412157,0.059697017,AT5G66940,Transcription factor,Leaf,,,
SRP045296/SRX1412158,0.6693698,ADOF1,Transcription factor,Leaf,,,
SRP045296/SRX1412159,0.63059366,ADOF1,Transcription factor,Leaf,,,
SRP045296/SRX1412160,0.6305613,AT1G64620,Transcription factor,Leaf,,,
SRP045296/SRX1412161,0.114271596,AT1G64620,Transcription factor,Leaf,,,
SRP045296/SRX1412162,0.27535293,AT3G45610,Transcription factor,Leaf,,,
SRP045296/SRX1412163,0.34564257,AT3G45610,Transcription factor,Leaf,,,
SRP045296/SRX1412164,0.21478483,AT4G38000,Transcription factor,Leaf,,,
SRP045296/SRX1412165,0.10980872,AT4G38000,Transcription factor,Leaf,,,
SRP045296/SRX1412167,0.2819141,CDF3,Transcription factor,Leaf,,,
SRP045296/SRX1412168,0.47685724,CDF3,Transcription factor,Leaf,,,
SRP045296/SRX1412169,0.5476919,COG1,Transcription factor,Leaf,,,
SRP045296/SRX1412170,0.46980667,COG1,Transcription factor,Leaf,,,
SRP045296/SRX1412171,0.40688652,DAG2,Transcription factor,Leaf,,,
SRP045296/SRX1412172,0.14293762,DAG2,Transcription factor,Leaf,,,
SRP045296/SRX1412173,0.06469621,OBP1,Transcription factor,Leaf,,,
SRP045296/SRX1412174,0.06124821,OBP3,Transcription factor,Leaf,,,
SRP045296/SRX1412175,0.14796351,OBP3,Transcription factor,Leaf,,,
SRP045296/SRX1412176,0.2329653,OBP4,Transcription factor,Leaf,,,
SRP045296/SRX1412177,0.049976718,OBP4,Transcription factor,Leaf,,,
SRP045296/SRX1412178,0.21695884,DOF2.4,Transcription factor,Leaf,,,
SRP045296/SRX1412179,0.09515042,DOF2.4,Transcription factor,Leaf,,,
SRP045296/SRX1412180,0.09151439,DOF4.2,Transcription factor,Leaf,,,
SRP045296/SRX1412181,0.075380616,DOF4.3,Transcription factor,Leaf,,,
SRP045296/SRX1412182,0.9141511,DOF4.3,Transcription factor,Leaf,,,
SRP045296/SRX1412183,0.6415414,DOF4.5,Transcription factor,Leaf,,,
SRP045296/SRX1412184,0.17777377,DOF4.5,Transcription factor,Leaf,,,
SRP045296/SRX1412185,1.2136956,GATA1,Transcription factor,Leaf,,,
SRP045296/SRX1412186,1.7989643,GATA1,Transcription factor,Leaf,,,
SRP045296/SRX1412187,1.6053935,GATA11,Transcription factor,Leaf,,,
SRP045296/SRX1412188,1.0297796,GATA12,Transcription factor,Leaf,,,
SRP045296/SRX1412189,1.4423838,GATA12,Transcription factor,Leaf,,,
SRP045296/SRX1412190,1.3410239,GATA14,Transcription factor,Leaf,,,
SRP045296/SRX1412191,1.2340492,GATA15,Transcription factor,Leaf,,,
SRP045296/SRX1412192,0.85565615,GATA16,Transcription factor,Leaf,,,
SRP045296/SRX1412193,0.73714125,GATA19,Transcription factor,Leaf,,,
SRP045296/SRX1412194,2.9176204,GATA19,Transcription factor,Leaf,,,
SRP045296/SRX1412195,5.244026,GATA20,Transcription factor,Leaf,,,
SRP045296/SRX1412196,1.0174313,GATA20,Transcription factor,Leaf,,,
SRP045296/SRX1412197,1.2696384,GATA4,Transcription factor,Leaf,,,
SRP045296/SRX1412198,1.4808391,GATA6,Transcription factor,Leaf,,,
SRP045296/SRX1412199,1.1016859,ZIM,Transcription factor,Leaf,,,
SRP045296/SRX1412200,0.7606068,ZML1,Transcription factor,Leaf,,,
SRP045296/SRX1412201,1.0214455,ZML1,Transcription factor,Leaf,,,
SRP045296/SRX1412202,1.1704636,ZML2,Transcription factor,Leaf,,,
SRP045296/SRX1412203,2.4081156,AT2G15740,Transcription factor,Leaf,,,
SRP045296/SRX1412204,0.78419757,AT3G46070,Transcription factor,Leaf,,,
SRP045296/SRX1412205,1.2732267,AT3G49930,Transcription factor,Leaf,,,
SRP045296/SRX1412206,0.6321795,AT4G26030,Transcription factor,Leaf,,,
SRP045296/SRX1412207,2.3510106,AT5G22990,Transcription factor,Leaf,,,
SRP045296/SRX1412208,0.7837575,AZF1,Transcription factor,Leaf,,,
SRP045296/SRX1412209,0.6520945,AT1G14580,Transcription factor,Leaf,,,
SRP045296/SRX1412210,0.57281744,AT1G14580,Transcription factor,Leaf,,,
SRP045296/SRX1412211,0.6146158,AT2G41835,Transcription factor,Leaf,,,
SRP045296/SRX1412212,0.7661869,AT2G48100,Transcription factor,Leaf,,,
SRP045296/SRX1412213,0.35438773,AT3G60580,Transcription factor,Leaf,,,
SRP045296/SRX1412214,0.58335793,AT5G04390,Transcription factor,Leaf,,,
SRP045296/SRX1412215,0.79207015,AT5G22890,Transcription factor,Leaf,,,
SRP045296/SRX1412216,0.5343451,AT5G66730,Transcription factor,Leaf,,,
SRP045296/SRX1412217,0.5806684,AtIDD11,Transcription factor,Leaf,,,
SRP045296/SRX1412218,1.1837025,AtIDD11,Transcription factor,Leaf,,,
SRP045296/SRX1412219,0.59921306,IDD2,Transcription factor,Leaf,,,
SRP045296/SRX1412220,0.6782958,IDD2,Transcription factor,Leaf,,,
SRP045296/SRX1412221,0.43495715,IDD4,Transcription factor,Leaf,,,
SRP045296/SRX1412222,0.4701231,IDD5,Transcription factor,Leaf,,,
SRP045296/SRX1412223,0.7242806,IDD7,Transcription factor,Leaf,,,
SRP045296/SRX1412224,0.59116125,JGL,Transcription factor,Leaf,,,
SRP045296/SRX1412225,0.7019384,JKD,Transcription factor,Leaf,,,
SRP045296/SRX1412226,0.69595647,MGP,Transcription factor,Leaf,,,
SRP045296/SRX1412227,0.78066707,MGP,Transcription factor,Leaf,,,
SRP045296/SRX1412228,0.7403869,NUC,Transcription factor,Leaf,,,
SRP045296/SRX1412229,1.2658484,NUC,Transcription factor,Leaf,,,
SRP045296/SRX1412230,0.4318813,SGR5,Transcription factor,Leaf,,,
SRP045296/SRX1412231,0.4693377,SGR5,Transcription factor,Leaf,,,
SRP045296/SRX1412232,0.72024983,STOP1,Transcription factor,Leaf,,,
SRP045296/SRX1412233,0.56133723,STOP1,Transcription factor,Leaf,,,
SRP045296/SRX1412234,0.4085111,STZ,Transcription factor,Leaf,,,
SRP045296/SRX1412235,1.1271724,TF3A,Transcription factor,Leaf,,,
SRP045296/SRX1412236,0.59596825,WIP5,Transcription factor,Leaf,,,
SRP045296/SRX1412237,0.7592085,WIP5,Transcription factor,Leaf,,,
SRP045296/SRX1412238,0.061652385,AT3G12130,Transcription factor,Leaf,,,
SRP045296/SRX1412239,0.44801974,AT5G63260,Transcription factor,Leaf,,,
SRP045296/SRX1412240,0.38277614,AT5G63260,Transcription factor,Leaf,,,
SRP045296/SRX1412241,0.6627882,AT1G70910,Transcription factor,Leaf,,,
SRP045296/SRX1412242,0.6786693,AT1G74370,Transcription factor,Leaf,,,
SRP045296/SRX1412243,0.9140288,AT5G08750,Transcription factor,Leaf,,,
SRP045296/SRX1412244,1.1989686,CDM1,Transcription factor,Leaf,,,
SRP045296/SRX1412245,0.5480442,EMB1789,Transcription factor,Leaf,,,
SRP045296/SRX1412246,0.9644277,TZF9,Transcription factor,Leaf,,,
SRP045296/SRX1412247,1.1075754,U2AF35B,Transcription factor,Leaf,,,
SRP045296/SRX1412248,0.5076795,CAMTA1,Transcription factor,Leaf,,,
SRP045296/SRX1412249,0.5194737,CAMTA5,Transcription factor,Leaf,,,
SRP045296/SRX1412250,2.040853,HAP3,Transcription factor,Leaf,,,
SRP045296/SRX1412251,0.66684616,NFYB4,Transcription factor,Leaf,,,
SRP045296/SRX1412252,0.2526715,AT2G20110,Transcription factor,Leaf,,,
SRP045296/SRX1412253,0.26522735,AT2G20110,Transcription factor,Leaf,,,
SRP045296/SRX1412254,0.434593,SOL1,Transcription factor,Leaf,,,
SRP045296/SRX1412255,0.4280261,TCX2,Transcription factor,Leaf,,,
SRP045296/SRX1412256,0.5410247,TCX2,Transcription factor,Leaf,,,
SRP045296/SRX1412257,0.7997035,TSO1,Transcription factor,Leaf,,,
SRP045296/SRX1412258,1.2942436,AT3G51470,Transcription factor,Leaf,,,
SRP045296/SRX1412259,0.5439136,DEL1,Transcription factor,Leaf,,,
SRP045296/SRX1412260,0.951043,DEL1,Transcription factor,Leaf,,,
SRP045296/SRX1412261,0.7086327,DEL2,Transcription factor,Leaf,,,
SRP045296/SRX1412262,0.64349,DEL2,Transcription factor,Leaf,,,
SRP045296/SRX1412263,0.6850574,E2FA,Transcription factor,Leaf,,,
SRP045296/SRX1412264,0.7890463,E2FA,Transcription factor,Leaf,,,
SRP045296/SRX1412265,0.19632556,E2FC,Transcription factor,Leaf,,,
SRP045296/SRX1412266,0.6340558,EIL3,Transcription factor,Leaf,,,
SRP045296/SRX1412267,0.7054523,EIN3,Transcription factor,Leaf,,,
SRP045296/SRX1412268,0.31894043,EIN3,Transcription factor,Leaf,,,
SRP045296/SRX1412269,0.6928964,FAR1,Transcription factor,Leaf,,,
SRP045296/SRX1412270,0.38891953,FAR1,Transcription factor,Leaf,,,
SRP045296/SRX1412271,0.6818115,FHA2,Transcription factor,Leaf,,,
SRP045296/SRX1412272,0.43299222,AT1G49560,Transcription factor,Leaf,,,
SRP045296/SRX1412273,0.637722,AT1G49560,Transcription factor,Leaf,,,
SRP045296/SRX1412274,0.4790793,AT2G20400,Transcription factor,Leaf,,,
SRP045296/SRX1412275,1.3396127,AT2G20400,Transcription factor,Leaf,,,
SRP045296/SRX1412276,0.584781,AT2G38300,Transcription factor,Leaf,,,
SRP045296/SRX1412277,0.3735307,AT2G40260,Transcription factor,Leaf,,,
SRP045296/SRX1412278,0.6622952,AT2G40260,Transcription factor,Leaf,,,
SRP045296/SRX1412279,0.7220089,AT4G37180,Transcription factor,Leaf,,,
SRP045296/SRX1412280,0.15131927,AT4G37180,Transcription factor,Leaf,,,
SRP045296/SRX1412281,0.10217056,AT5G45580,Transcription factor,Leaf,,,
SRP045296/SRX1412282,0.3598197,AT5G45580,Transcription factor,Leaf,,,
SRP045296/SRX1412283,0.77656776,AT1G13300,Transcription factor,Leaf,,,
SRP045296/SRX1412284,0.5242661,AT1G25550,Transcription factor,Leaf,,,
SRP045296/SRX1412285,0.57222325,AT1G68670,Transcription factor,Leaf,,,
SRP045296/SRX1412286,0.25066158,AT2G01060,Transcription factor,Leaf,,,
SRP045296/SRX1412287,0.74709433,AT2G03500,Transcription factor,Leaf,,,
SRP045296/SRX1412288,0.22078413,AT2G03500,Transcription factor,Leaf,,,
SRP045296/SRX1412289,0.7832611,AT3G04030,Transcription factor,Leaf,,,
SRP045296/SRX1412290,0.28276893,AT3G04030,Transcription factor,Leaf,,,
SRP045296/SRX1412291,0.60516655,AT3G12730,Transcription factor,Leaf,,,
SRP045296/SRX1412292,0.1564349,AT3G12730,Transcription factor,Leaf,,,
SRP045296/SRX1412293,0.64729863,AT3G13040,Transcription factor,Leaf,,,
SRP045296/SRX1412294,0.42643586,AT3G24120,Transcription factor,Leaf,,,
SRP045296/SRX1412295,0.18065862,AT3G24120,Transcription factor,Leaf,,,
SRP045296/SRX1412296,0.65996575,AT5G29000,Transcription factor,Leaf,,,
SRP045296/SRX1412297,0.7217009,KAN2,Transcription factor,Leaf,,,
SRP045296/SRX1412298,1.1369652,KAN2,Transcription factor,Leaf,,,
SRP045296/SRX1412299,0.99876887,AtGRF6,Transcription factor,Leaf,,,
SRP045296/SRX1412300,0.6873797,GRF9,Transcription factor,Leaf,,,
SRP045296/SRX1412301,0.7312,GRF9,Transcription factor,Leaf,,,
SRP045296/SRX1412303,0.7629411,AT4G00250,Transcription factor,Leaf,,,
SRP045296/SRX1412304,0.5904536,ANL2,Transcription factor,Leaf,,,
SRP045296/SRX1412305,0.104897514,ANL2,Transcription factor,Leaf,,,
SRP045296/SRX1412306,0.4455418,ATHB15,Transcription factor,Leaf,,,
SRP045296/SRX1412307,0.37742755,ATHB21,Transcription factor,Leaf,,,
SRP045296/SRX1412308,0.7277105,ATHB21,Transcription factor,Leaf,,,
SRP045296/SRX1412309,0.20027612,ATHB40,Transcription factor,Leaf,,,
SRP045296/SRX1412310,0.13987863,ATHB40,Transcription factor,Leaf,,,
SRP045296/SRX1412311,0.124973744,ATHB5,Transcription factor,Leaf,,,
SRP045296/SRX1412312,0.04648995,ATHB5,Transcription factor,Leaf,,,
SRP045296/SRX1412313,0.65267605,ATHB53,Transcription factor,Leaf,,,
SRP045296/SRX1412314,0.11709384,ATHB53,Transcription factor,Leaf,,,
SRP045296/SRX1412315,0.44321,HDG7,Transcription factor,Leaf,,,
SRP045296/SRX1412316,0.24655609,LMI1,Transcription factor,Leaf,,,
SRP045296/SRX1412317,0.4931644,LMI1,Transcription factor,Leaf,,,
SRP045296/SRX1412318,0.2135013,PHV,Transcription factor,Leaf,,,
SRP045296/SRX1412319,0.526615,WOX11,Transcription factor,Leaf,,,
SRP045296/SRX1412320,1.1033822,3XHMGBOX1,Transcription factor,Leaf,,,
SRP045296/SRX1412321,1.4298751,3XHMGBOX1,Transcription factor,Leaf,,,
SRP045296/SRX1412322,0.98561037,HSF21,Transcription factor,Leaf,,,
SRP045296/SRX1412323,0.48959714,HSF3,Transcription factor,Leaf,,,
SRP045296/SRX1412324,0.27215886,HSF3,Transcription factor,Leaf,,,
SRP045296/SRX1412325,0.7843076,HSF6,Transcription factor,Leaf,,,
SRP045296/SRX1412326,0.7800038,HSF7,Transcription factor,Leaf,,,
SRP045296/SRX1412327,0.6879485,HSF7,Transcription factor,Leaf,,,
SRP045296/SRX1412328,0.62732226,HSFA1E,Transcription factor,Leaf,,,
SRP045296/SRX1412329,0.9390855,HSFA1E,Transcription factor,Leaf,,,
SRP045296/SRX1412330,0.4864971,HSFA6A,Transcription factor,Leaf,,,
SRP045296/SRX1412331,0.6812209,HSFA6A,Transcription factor,Leaf,,,
SRP045296/SRX1412332,0.47774792,HSFA6B,Transcription factor,Leaf,,,
SRP045296/SRX1412333,0.5013995,HSFB3,Transcription factor,Leaf,,,
SRP045296/SRX1412334,0.91307235,HSFB3,Transcription factor,Leaf,,,
SRP045296/SRX1412335,0.7995975,HSFB4,Transcription factor,Leaf,,,
SRP045296/SRX1412336,0.7429804,HSFC1,Transcription factor,Leaf,,,
SRP045296/SRX1412337,0.5317005,HSFC1,Transcription factor,Leaf,,,
SRP045296/SRX1412338,0.67463857,ATHB13,Transcription factor,Leaf,,,
SRP045296/SRX1412339,0.19954665,ATHB13,Transcription factor,Leaf,,,
SRP045296/SRX1412340,0.5785907,ATHB18,Transcription factor,Leaf,,,
SRP045296/SRX1412341,0.57523066,ATHB18,Transcription factor,Leaf,,,
SRP045296/SRX1412342,0.48013055,ATHB20,Transcription factor,Leaf,,,
SRP045296/SRX1412343,0.68968904,ATHB20,Transcription factor,Leaf,,,
SRP045296/SRX1412344,0.685288,ATHB6,Transcription factor,Leaf,,,
SRP045296/SRX1412345,0.14243603,ATHB6,Transcription factor,Leaf,,,
SRP045296/SRX1412346,0.32586056,ATHB7,Transcription factor,Leaf,,,
SRP045296/SRX1412347,0.7487197,HAT1,Transcription factor,Leaf,,,
SRP045296/SRX1412348,0.7191324,HAT1,Transcription factor,Leaf,,,
SRP045296/SRX1412349,0.29365987,HAT2,Transcription factor,Leaf,,,
SRP045296/SRX1412350,0.58939236,HAT2,Transcription factor,Leaf,,,
SRP045296/SRX1412351,0.7339648,HAT22,Transcription factor,Leaf,,,
SRP045296/SRX1412352,0.8303431,HAT5,Transcription factor,Leaf,,,
SRP045296/SRX1412353,0.5529948,HAT5,Transcription factor,Leaf,,,
SRP045296/SRX1412354,0.3976637,HDG1,Transcription factor,Leaf,,,
SRP045296/SRX1412355,0.5354534,HDG1,Transcription factor,Leaf,,,
SRP045296/SRX1412356,0.43766832,WUS1,Transcription factor,Leaf,,,
SRP045296/SRX1412357,0.26394895,WUS1,Transcription factor,Leaf,,,
SRP045296/SRX1412358,1.1522485,WLIM2A,Transcription factor,Leaf,,,
SRP045296/SRX1412359,0.6450417,AS2,Transcription factor,Leaf,,,
SRP045296/SRX1412360,0.98302686,ASL18,Transcription factor,Leaf,,,
SRP045296/SRX1412361,0.71293813,ASL18,Transcription factor,Leaf,,,
SRP045296/SRX1412362,0.6674257,LBD13,Transcription factor,Leaf,,,
SRP045296/SRX1412363,0.8244871,LBD13,Transcription factor,Leaf,,,
SRP045296/SRX1412364,0.4818542,LBD18,Transcription factor,Leaf,,,
SRP045296/SRX1412365,0.80761254,LBD18,Transcription factor,Leaf,,,
SRP045296/SRX1412366,0.3899446,LBD19,Transcription factor,Leaf,,,
SRP045296/SRX1412367,0.64384246,LBD19,Transcription factor,Leaf,,,
SRP045296/SRX1412368,1.792979,LBD2,Transcription factor,Leaf,,,
SRP045296/SRX1412369,3.099975,LBD2,Transcription factor,Leaf,,,
SRP045296/SRX1412370,1.2277387,LBD23,Transcription factor,Leaf,,,
SRP045296/SRX1412371,1.0609434,LBD23,Transcription factor,Leaf,,,
SRP045296/SRX1412372,0.64546657,LOB,Transcription factor,Leaf,,,
SRP045296/SRX1412373,0.6394989,AGL13,Transcription factor,Leaf,,,
SRP045296/SRX1412374,0.70752484,AGL15,Transcription factor,Leaf,,,
SRP045296/SRX1412375,0.3704368,AGL15,Transcription factor,Leaf,,,
SRP045296/SRX1412376,0.61951953,AGL16,Transcription factor,Leaf,,,
SRP045296/SRX1412377,1.0030218,AGL16,Transcription factor,Leaf,,,
SRP045296/SRX1412378,0.5517959,AGL25,Transcription factor,Leaf,,,
SRP045296/SRX1412379,0.9801483,AGL25,Transcription factor,Leaf,,,
SRP045296/SRX1412380,0.95198107,AGL42,Transcription factor,Leaf,,,
SRP045296/SRX1412381,0.96777296,AGL55,Transcription factor,Leaf,,,
SRP045296/SRX1412382,0.9864315,AGL6,Transcription factor,Leaf,,,
SRP045296/SRX1412383,0.39489153,AGL63,Transcription factor,Leaf,,,
SRP045296/SRX1412384,0.9538542,FEM111,Transcription factor,Leaf,,,
SRP045296/SRX1412385,1.2438422,SVP,Transcription factor,Leaf,,,
SRP045296/SRX1412386,0.28089088,SVP,Transcription factor,Leaf,,,
SRP045296/SRX1412387,0.7072472,ATY13,Transcription factor,Leaf,,,
SRP045296/SRX1412388,0.5245369,ATY13,Transcription factor,Leaf,,,
SRP045296/SRX1412389,0.9528611,ATY19,Transcription factor,Leaf,,,
SRP045296/SRX1412390,0.6481154,BOS1,Transcription factor,Leaf,,,
SRP045296/SRX1412391,0.41426367,MS188,Transcription factor,Leaf,,,
SRP045296/SRX1412392,0.44045156,MS188,Transcription factor,Leaf,,,
SRP045296/SRX1412393,0.9132924,MYB1,Transcription factor,Leaf,,,
SRP045296/SRX1412394,0.59696996,MYB10,Transcription factor,Leaf,,,
SRP045296/SRX1412395,0.8575356,MYB10,Transcription factor,Leaf,,,
SRP045296/SRX1412396,0.35973328,MYB101,Transcription factor,Leaf,,,
SRP045296/SRX1412397,0.48090672,MYB101,Transcription factor,Leaf,,,
SRP045296/SRX1412398,0.655288,MYB105,Transcription factor,Leaf,,,
SRP045296/SRX1412399,0.60816646,MYB105,Transcription factor,Leaf,,,
SRP045296/SRX1412400,0.53847504,MYB107,Transcription factor,Leaf,,,
SRP045296/SRX1412401,0.4256313,MYB107,Transcription factor,Leaf,,,
SRP045296/SRX1412402,0.99283993,MYB113,Transcription factor,Leaf,,,
SRP045296/SRX1412403,0.55018616,MYB116,Transcription factor,Leaf,,,
SRP045296/SRX1412404,0.7138101,MYB116,Transcription factor,Leaf,,,
SRP045296/SRX1412405,0.5432046,MYB118,Transcription factor,Leaf,,,
SRP045296/SRX1412406,0.75099087,MYB118,Transcription factor,Leaf,,,
SRP045296/SRX1412407,0.38057587,MYB119,Transcription factor,Leaf,,,
SRP045296/SRX1412408,0.5022793,MYB119,Transcription factor,Leaf,,,
SRP045296/SRX1412409,0.6692985,MYB121,Transcription factor,Leaf,,,
SRP045296/SRX1412410,0.6584682,MYB13,Transcription factor,Leaf,,,
SRP045296/SRX1412411,0.4472903,MYB13,Transcription factor,Leaf,,,
SRP045296/SRX1412412,0.5554497,MYB17,Transcription factor,Leaf,,,
SRP045296/SRX1412413,0.81833506,MYB23,Transcription factor,Leaf,,,
SRP045296/SRX1412414,0.80614346,MYB27,Transcription factor,Leaf,,,
SRP045296/SRX1412415,0.7009173,MYB27,Transcription factor,Leaf,,,
SRP045296/SRX1412416,0.56932586,MYB30,Transcription factor,Leaf,,,
SRP045296/SRX1412417,0.7916578,MYB30,Transcription factor,Leaf,,,
SRP045296/SRX1412418,0.12820728,MYB33,Transcription factor,Leaf,,,
SRP045296/SRX1412419,0.59237146,MYB39,Transcription factor,Leaf,,,
SRP045296/SRX1412420,0.68535596,MYB39,Transcription factor,Leaf,,,
SRP045296/SRX1412421,0.5190611,MYB3R1,Transcription factor,Leaf,,,
SRP045296/SRX1412422,0.22843602,MYB3R1,Transcription factor,Leaf,,,
SRP045296/SRX1412423,0.3875074,MYB3R4,Transcription factor,Leaf,,,
SRP045296/SRX1412424,0.6884196,MYB3R5,Transcription factor,Leaf,,,
SRP045296/SRX1412425,0.8046783,MYB4,Transcription factor,Leaf,,,
SRP045296/SRX1412426,0.5773214,MYB40,Transcription factor,Leaf,,,
SRP045296/SRX1412427,0.7101903,MYB41,Transcription factor,Leaf,,,
SRP045296/SRX1412428,0.7856546,MYB43,Transcription factor,Leaf,,,
SRP045296/SRX1412429,0.57847285,MYB44,Transcription factor,Leaf,,,
SRP045296/SRX1412430,0.31711185,MYB49,Transcription factor,Leaf,,,
SRP045296/SRX1412431,0.53180647,MYB49,Transcription factor,Leaf,,,
SRP045296/SRX1412432,0.779781,MYB51,Transcription factor,Leaf,,,
SRP045296/SRX1412433,0.96963537,MYB52,Transcription factor,Leaf,,,
SRP045296/SRX1412434,0.42520565,MYB55,Transcription factor,Leaf,,,
SRP045296/SRX1412435,0.6318059,MYB56,Transcription factor,Leaf,,,
SRP045296/SRX1412436,0.6062041,MYB56,Transcription factor,Leaf,,,
SRP045296/SRX1412437,0.4909137,MYB57,Transcription factor,Leaf,,,
SRP045296/SRX1412438,0.4615697,MYB57,Transcription factor,Leaf,,,
SRP045296/SRX1412439,0.4322896,MYB58,Transcription factor,Leaf,,,
SRP045296/SRX1412440,0.30138856,MYB58,Transcription factor,Leaf,,,
SRP045296/SRX1412441,0.39338288,MYB61,Transcription factor,Leaf,,,
SRP045296/SRX1412442,0.6625381,MYB61,Transcription factor,Leaf,,,
SRP045296/SRX1412443,0.5021728,MYB62,Transcription factor,Leaf,,,
SRP045296/SRX1412444,0.71340334,MYB62,Transcription factor,Leaf,,,
SRP045296/SRX1412445,0.78435344,MYB63,Transcription factor,Leaf,,,
SRP045296/SRX1412446,1.0734676,MYB65,Transcription factor,Leaf,,,
SRP045296/SRX1412447,0.44951278,MYB65,Transcription factor,Leaf,,,
SRP045296/SRX1412448,0.49112839,MYB67,Transcription factor,Leaf,,,
SRP045296/SRX1412449,0.15144409,MYB70,Transcription factor,Leaf,,,
SRP045296/SRX1412450,0.18247558,MYB73,Transcription factor,Leaf,,,
SRP045296/SRX1412451,0.5336213,MYB74,Transcription factor,Leaf,,,
SRP045296/SRX1412452,0.75107485,MYB77,Transcription factor,Leaf,,,
SRP045296/SRX1412453,0.18330957,MYB77,Transcription factor,Leaf,,,
SRP045296/SRX1412454,0.6347896,MYB81,Transcription factor,Leaf,,,
SRP045296/SRX1412455,0.5862873,MYB81,Transcription factor,Leaf,,,
SRP045296/SRX1412456,0.44648346,MYB83,Transcription factor,Leaf,,,
SRP045296/SRX1412457,0.44785362,MYB83,Transcription factor,Leaf,,,
SRP045296/SRX1412458,1.5254043,MYB88,Transcription factor,Leaf,,,
SRP045296/SRX1412459,2.5218904,MYB88,Transcription factor,Leaf,,,
SRP045296/SRX1412460,1.2178266,MYB92,Transcription factor,Leaf,,,
SRP045296/SRX1412461,0.547688,MYB92,Transcription factor,Leaf,,,
SRP045296/SRX1412462,0.6917281,MYB93,Transcription factor,Leaf,,,
SRP045296/SRX1412463,0.43465322,MYB93,Transcription factor,Leaf,,,
SRP045296/SRX1412464,0.82219595,MYB94,Transcription factor,Leaf,,,
SRP045296/SRX1412465,0.6565861,MYB96,Transcription factor,Leaf,,,
SRP045296/SRX1412466,0.80545664,MYB96,Transcription factor,Leaf,,,
SRP045296/SRX1412467,0.8158606,MYB98,Transcription factor,Leaf,,,
SRP045296/SRX1412468,0.42163554,MYB99,Transcription factor,Leaf,,,
SRP045296/SRX1412469,0.8266208,MYB99,Transcription factor,Leaf,,,
SRP045296/SRX1412470,1.2476673,AT1G18960,Transcription factor,Leaf,,,
SRP045296/SRX1412471,0.506647,AT1G72740,Transcription factor,Leaf,,,
SRP045296/SRX1412472,0.53634036,AT1G72740,Transcription factor,Leaf,,,
SRP045296/SRX1412473,0.19409268,AT3G10113,Transcription factor,Leaf,,,
SRP045296/SRX1412474,0.5304634,AT3G10580,Transcription factor,Leaf,,,
SRP045296/SRX1412475,0.72916865,AT3G10580,Transcription factor,Leaf,,,
SRP045296/SRX1412476,0.64793795,AT4G12670,Transcription factor,Leaf,,,
SRP045296/SRX1412477,0.6946176,AT4G12670,Transcription factor,Leaf,,,
SRP045296/SRX1412478,0.15993926,AT5G56840,Transcription factor,Leaf,,,
SRP045296/SRX1412479,0.4846962,AT5G56840,Transcription factor,Leaf,,,
SRP045296/SRX1412480,0.47934812,AT5G61620,Transcription factor,Leaf,,,
SRP045296/SRX1412481,0.13342497,AT5G61620,Transcription factor,Leaf,,,
SRP045296/SRX1412482,0.5767256,AT1G19000,Transcription factor,Leaf,,,
SRP045296/SRX1412483,0.38135484,AT1G19000,Transcription factor,Leaf,,,
SRP045296/SRX1412484,0.56836414,AT1G49010,Transcription factor,Leaf,,,
SRP045296/SRX1412485,0.21491791,AT1G49010,Transcription factor,Leaf,,,
SRP045296/SRX1412486,0.25120693,AT1G74840,Transcription factor,Leaf,,,
SRP045296/SRX1412487,0.57009095,AT1G74840,Transcription factor,Leaf,,,
SRP045296/SRX1412489,0.26870388,AT3G09600,Transcription factor,Leaf,,,
SRP045296/SRX1412490,0.63336307,AT3G09600,Transcription factor,Leaf,,,
SRP045296/SRX1412491,0.791787,AT3G11280,Transcription factor,Leaf,,,
SRP045296/SRX1412492,0.44452077,AT3G11280,Transcription factor,Leaf,,,
SRP045296/SRX1412493,0.21456885,AT4G01280,Transcription factor,Leaf,,,
SRP045296/SRX1412494,0.13828595,AT4G01280,Transcription factor,Leaf,,,
SRP045296/SRX1412495,0.8944123,AT5G05790,Transcription factor,Leaf,,,
SRP045296/SRX1412496,0.53023285,AT5G08520,Transcription factor,Leaf,,,
SRP045296/SRX1412497,0.6851642,AT5G08520,Transcription factor,Leaf,,,
SRP045296/SRX1412498,0.5626329,AT5G47390,Transcription factor,Leaf,,,
SRP045296/SRX1412499,0.43532187,AT5G47390,Transcription factor,Leaf,,,
SRP045296/SRX1412500,0.44721213,AT5G52660,Transcription factor,Leaf,,,
SRP045296/SRX1412501,0.4990701,AT5G52660,Transcription factor,Leaf,,,
SRP045296/SRX1412502,0.32878426,AT5G58900,Transcription factor,Leaf,,,
SRP045296/SRX1412503,0.71326745,AT5G58900,Transcription factor,Leaf,,,
