Target,Prediction,Factor,Factor_type_specific,Tissue,Mutant_specific,Age,Temperature
DRP006224/DRX225481,0.50764656,H3K4me1,histone methylation,Whole plant,WT,14.0,
DRP006224/DRX225483,0.5396686,H3K4me1,histone methylation,Whole plant,fld,14.0,
DRP006224/DRX225485,0.41521963,H3K4me1,histone methylation,Whole plant,sdg26,14.0,
DRP006224/DRX225487,0.5263344,H3K4me1,histone methylation,Whole plant,ld,14.0,
DRP006224/DRX225489,0.5059929,H3K4me1,histone methylation,Whole plant,WT,14.0,
DRP006224/DRX225491,0.6103751,H3K4me1,histone methylation,Whole plant,fld,14.0,
DRP006224/DRX225493,0.5284165,H3K4me1,histone methylation,Whole plant,top1a,14.0,
DRP006224/DRX225495,0.43989202,H3K4me1,histone methylation,Whole plant,"fld-4, top1a",14.0,
DRP006224/DRX225504,0.45989484,H3K4me1,histone methylation,Whole plant,WT,14.0,
DRP006224/DRX225505,0.5206516,H3K4me1,histone methylation,Whole plant,fld-4,14.0,
DRP006224/DRX225506,0.50257134,H3K4me1,histone methylation,Whole plant,WT,14.0,
DRP006224/DRX225507,2.6013556,PolII,RNA polymerase,Whole plant,WT,14.0,
DRP006224/DRX225508,2.4403384,PolII,RNA polymerase,Whole plant,fld-4,14.0,
DRP006224/DRX225509,2.0997486,PolII,RNA polymerase,Whole plant,top1a,14.0,
DRP006224/DRX225510,2.187196,PolII,RNA polymerase,Whole plant,"fld-4, top1a",14.0,
DRP006224/DRX225515,1.0997686,PolIISer2,RNA polymerase,Whole plant,WT,14.0,
DRP006224/DRX225516,1.7095109,PolIISer5,RNA polymerase,Whole plant,WT,14.0,
DRP006224/DRX225520,1.018651,FLD,Transcription factor,Whole plant,fld-4,14.0,
DRP006224/DRX225525,1.1803803,FLD,Transcription factor,Whole plant,fld-4,14.0,
DRP006224/DRX225526,1.2247024,FLD,Transcription factor,Whole plant,fld-4,14.0,
DRP006224/DRX225528,0.81850207,TOP1A,DNA-binding protein,Whole plant,top1a,14.0,
DRP006524/DRX231917,1.0571433,NPR1,Transcription factor,Whole plant,npr1-1,13.0,22.0
DRP006879/DRX245431,0.9379536,PolIISer2,RNA polymerase,Whole plant,Ser2-mintbody,10.0,
DRP006879/DRX245433,0.96648085,PolIISer2,RNA polymerase,Whole plant,egfp,10.0,
DRP006729/DRX245892,1.2864375,CAMTA3,Transcription factor,Whole plant,camta3,14.0,22.0
DRP007230/DRX277191,0.3577528,H3K27me3,histone methylation,Whole plant,WT,7.0,22.0
DRP007230/DRX277193,0.25438768,H3K27me3,histone methylation,Whole plant,WT,7.0,22.0
DRP007230/DRX277195,0.24208812,H3K27me3,histone methylation,Whole plant,jmjq,7.0,22.0
DRP007230/DRX277197,0.33732727,H3K27me3,histone methylation,Whole plant,jmjq,7.0,22.0
DRP007230/DRX277199,8.1199875,H3K4me3,histone methylation,Whole plant,WT,7.0,22.0
DRP007230/DRX277200,7.5038147,H3K4me3,histone methylation,Whole plant,WT,7.0,22.0
DRP007230/DRX277201,8.690644,H3K4me3,histone methylation,Whole plant,jmjq,7.0,22.0
DRP007230/DRX277202,6.4696345,H3K4me3,histone methylation,Whole plant,jmjq,7.0,22.0
ERP000559/ERX011402,0.1549782,SEP3,Transcription factor,Inflorescence,,42.0,20.0
ERP000559/ERX011403,0.11688981,SEP3,Transcription factor,Inflorescence,,42.0,20.0
ERP001324/ERX082087,0.27677038,H3K27me3,histone methylation,Whole plant,,10.0,20.0
ERP001324/ERX082088,0.2774477,H3K27me3,histone methylation,Whole plant,,10.0,20.0
ERP011157/ERX1047448,1.0258701,H3,histone,Leaf,,,
ERP011157/ERX1047449,1.3540113,H3,histone,Leaf,,,
ERP011157/ERX1047452,1.2184652,H3,histone,Leaf,,,
ERP011157/ERX1047453,1.2171109,H3,histone,Leaf,,,
ERP011157/ERX1047472,4.557378,H3K27ac,histone acetylation,Leaf,,,
ERP011157/ERX1047473,6.656568,H3K27ac,histone acetylation,Leaf,,,
ERP011157/ERX1047476,3.653479,H3K27ac,histone acetylation,Leaf,,,
ERP011157/ERX1047477,3.8417177,H3K27ac,histone acetylation,Leaf,,,
ERP011157/ERX1047480,0.60163295,H3K27me3,histone methylation,Leaf,,,
ERP011157/ERX1047481,0.583034,H3K27me3,histone methylation,Leaf,,,
ERP011157/ERX1047484,1.063159,H3K27me3,histone methylation,Leaf,,,
ERP011157/ERX1047485,0.94906616,H3K27me3,histone methylation,Leaf,,,
ERP011157/ERX1047488,3.529852,H3K4me3,histone methylation,Leaf,,,
ERP011157/ERX1047489,3.4552705,H3K4me3,histone methylation,Leaf,,,
ERP011157/ERX1047492,6.250767,H3K4me3,histone methylation,Leaf,,,
ERP011157/ERX1047493,5.960415,H3K4me3,histone methylation,Leaf,,,
ERP011157/ERX1047496,3.8189173,H3K9ac,histone acetylation,Leaf,,,
ERP011157/ERX1047497,5.30036,H3K9ac,histone acetylation,Leaf,,,
ERP011157/ERX1047500,3.541635,H3K9ac,histone acetylation,Leaf,,,
ERP011157/ERX1047501,3.1985047,H3K9ac,histone acetylation,Leaf,,,
ERP011157/ERX1047504,0.68107945,H3K9me2,histone methylation,Leaf,,,
ERP011157/ERX1047505,0.54027045,H3K9me2,histone methylation,Leaf,,,
ERP011157/ERX1047508,1.034904,H3K9me2,histone methylation,Leaf,,,
ERP011157/ERX1047509,0.8051422,H3K9me2,histone methylation,Leaf,,,
ERP011157/ERX1047512,1.6228205,H3S10p,histone related,Leaf,,,
ERP011157/ERX1047513,1.6780436,H3S10p,histone related,Leaf,,,
ERP011157/ERX1047516,1.5551223,H3S10p,histone related,Leaf,,,
ERP011157/ERX1047517,1.6847577,H3S10p,histone related,Leaf,,,
ERP011157/ERX1047520,1.1856425,H3S28p,histone related,Leaf,,,
ERP011157/ERX1047521,1.2996224,H3S28p,histone related,Leaf,,,
ERP011157/ERX1047524,1.3428602,H3S28p,histone related,Leaf,,,
ERP011157/ERX1047525,1.3557723,H3S28p,histone related,Leaf,,,
ERP011203/ERX1050014,1.1977581,LBD29,Transcription factor,Whole plant,pKNBH-bZIP29,10.0,22.0
ERP015465/ERX1470585,8.646291,H3K4me3,histone methylation,Shoot,,21.0,23.0
ERP015465/ERX1470586,2.4211414,H3K27me3,histone methylation,Shoot,,21.0,23.0
ERP015465/ERX1470594,7.259395,H3K4me3,histone methylation,Shoot,,21.0,23.0
ERP015465/ERX1470600,2.1948643,H3K27me3,histone methylation,Shoot,,21.0,23.0
ERP015465/ERX1470602,8.3803,H3K4me3,histone methylation,Shoot,,21.0,23.0
ERP015465/ERX1470603,2.4927952,H3K27me3,histone methylation,Shoot,,21.0,23.0
ERP015465/ERX1470605,8.416405,H3K4me3,histone methylation,Shoot,,21.0,23.0
ERP015465/ERX1470606,2.2364225,H3K27me3,histone methylation,Shoot,,21.0,23.0
ERP016888/ERX1660733,5.8655205,H3K4me3,histone methylation,Flower,WT,,
ERP016888/ERX1660736,5.561829,H3K4me3,histone methylation,Flower,arp6,,
ERP016888/ERX1660739,3.8009872,H3K4me3,histone methylation,Flower,met1,,
ERP017362/ERX1733289,5.735963,H3K4me3,histone methylation,Shoot,,21.0,23.0
ERP017362/ERX1733290,0.46834657,H3K27me3,histone methylation,Shoot,,21.0,23.0
ERP021928/ERX1938605,0.80636764,ETT,Transcription factor,Flower,ett-3,,
ERP021928/ERX1938608,0.8617942,ETT,Transcription factor,Flower,"ett-3, IAA",,
ERP022017/ERX1941469,0.25573263,H3K27me3,histone methylation,Whole plant,"trb1, trb2, trb3",10.0,22.0
ERP022017/ERX1941471,0.32401344,H3K27me3,histone methylation,Whole plant,WT,10.0,22.0
ERP023519/ERX2067721,7.4981384,H3K4me3,histone methylation,Shoot,,24.0,23.0
ERP023519/ERX2067722,2.5428083,H3K27me3,histone methylation,Shoot,,24.0,23.0
ERP023519/ERX2067724,7.366684,H3K4me3,histone methylation,Shoot,,24.0,23.0
ERP023519/ERX2067725,1.7976329,H3K27me3,histone methylation,Shoot,,24.0,23.0
ERP023519/ERX2067727,7.678512,H3K4me3,histone methylation,Shoot,,24.0,23.0
ERP023519/ERX2067728,2.3432558,H3K27me3,histone methylation,Shoot,,24.0,23.0
ERP023519/ERX2067730,7.7906265,H3K4me3,histone methylation,Shoot,,24.0,23.0
